[平台報價] 入住日 2026-09-01（週二）／退房 2026-09-02
[平台報價] 待查 240 家（依 Google 評論數排序，先查最多人看的），已快取 341 家
    1/240 藍海之丘民宿             1666
  111/240 八八觀海古厝民宿           2221
  112/240 幸福客棧               1750
  113/240 艸祭會館               2846
  114/240 履舍民宿               1135
  115/240 水連田日式庭院            1935
  116/240 小豆旅宿民宿             943
  117/240 九份山城山海灣民宿          1970
  118/240 九份高媽媽民宿            1140
  119/240 漁海民宿               5495
  120/240 小茉莉民宿              2000
  121/240 新京站民宿              1679
  122/240 夢想家民宿              no_price
  123/240 海韵閣民宿              1314
  124/240 旅行者之家民宿            no_price
  125/240 芹壁地中海民宿            4747
  126/240 漁宅文旅               1938
  127/240 驫風民宿               no_match
  128/240 伯爵農莊民宿             no_price
  129/240 風仙廬香草園民宿           no_price
  130/240 晴光部落民宿             no_price
  131/240 鹹菜巷8號              3380
  132/240 千和居                no_match
  133/240 巧人文旅民宿             2000
  134/240 懷鄉園渡假別墅            no_match
  135/240 薇嬁民宿               2199
  136/240 童伴親子民宿             no_price
  137/240 瑞柒民宿               no_price
  138/240 水舞間                no_price
  139/240 冬山河左岸民宿            2300
  140/240 旅人燈塔民宿             no_price
  141/240 八八金歐二館民宿           no_match
  142/240 筆令莊園民宿             no_match
  143/240 厝旅店                2434
  144/240 津沙文化村              3677
  145/240 后HO民宿              1644
  146/240 美好墾丁旅閣民宿           1699
  147/240 鳥語花香               2598
  148/240 九號碧木嶼              1366
  149/240 霽月山莊民宿             2880
  150/240 和平森旅               1598
  151/240 像個家plus民宿          no_price
  152/240 寬院子（稻禾館）           no_match
  153/240 英倫爵士民宿             no_price
  154/240 七美姑娘旅宿             1442
  155/240 落花鉎民宿              1949
  156/240 四季民宿               no_match
  157/240 歪歪斜斜民宿             no_match
  158/240 觀機文旅民宿             5888
  159/240 花藝雅築民宿             1577
  160/240 鄢室民宿               1700
  161/240 Mr.M都蘭民宿           no_price
  162/240 快樂腳青年民宿            no_match
  163/240 李家出走               no_price
  164/240 休日行旅               1374
  165/240 解語花軒民宿             1999
  166/240 光粼民宿               1930
  167/240 可吉家                1025
  168/240 牛角一邊厝              4654
  169/240 松鶴雅緻商務旅館           1799
  170/240 吳居吾宿               1380
  171/240 巴里巴里民宿             894
  172/240 魚窩Ｂ＆Ｂ              no_match
  173/240 璦勒芬莊園民宿            no_match
  174/240 藍海筑夢城民宿            no_match
  175/240 田心仔民宿              no_match
  176/240 六小孩親子民宿            no_match
  177/240 半天陶坊               2679
  178/240 悅來民宿               no_match
  179/240 東美佇所民宿             3497
  180/240 綠園旅社               no_match
  181/240 楓香白樺莊園民宿           3000
  182/240 恆春奕棧               1179
  183/240 市居民宿               no_price
  184/240 大夫第民宿              2400
  185/240 鹿港宏宇旅宿             2283
  186/240 ＤＯＭＯ               no_price
  187/240 水耘翠Villa會館         no_match
  188/240 海角城堡民宿             3149
  189/240 玩皮城堡民宿             3149
  190/240 三義行館               no_price
  191/240 稻香緣民宿              2308
  192/240 小鳳民宿               no_match
  193/240 蘭心山莊民宿             no_price
  194/240 瑞恒行館民宿             1402
  195/240 神隱之月民宿             4364
  196/240 嵵裡。仙人掌海景民宿         no_price
  197/240 柯林小屋               no_match
  198/240 統一的家民宿             2102
  199/240 六宿                 1246
  200/240 白袍斜老               no_match
  201/240 八八古藝悅禾民宿           no_match
  202/240 暮石民宿               no_price
  203/240 荷比8號電梯民宿           no_price
  204/240 煦樂軒古厝民宿            no_price
  205/240 東北季豐民宿             no_price
  206/240 藍月亮民宿              no_match
  207/240 微笑太陽民宿             2065
  208/240 輕山居                12000
  209/240 有間寓背包旅宿民宿          3330
  210/240 蟬說希臘               1980
  211/240 良辰吉日民宿             15000
  212/240 熊讚民宿               2000
  213/240 有間民宿               1300
  214/240 鳥藝古厝民宿             no_price
  215/240 光域文旅民宿             1865
  216/240 佑佑11號民宿            11000
  217/240 大姆灣民宿              3278
  218/240 綠窗小築民宿             2298
  219/240 小時公館民宿             1544
  220/240 畫宿行旅民宿             no_match
  221/240 城市物語民宿             no_match
  222/240 美夢成真主題民宿           11977
  223/240 有空常來               998
  224/240 微睏旅宿               1199
  225/240 有山有谷民宿             4977
  226/240 心想事成主題民宿           8600
  227/240 吾家城市客棧             no_price
  228/240 愛那思民宿              1099
  229/240 碧山廬禪的民宿            no_price
  230/240 茶山宿民宿              no_match
  231/240 茶山居民宿              no_match
  232/240 三星小北歐699           15800
  233/240 櫻田野民宿              1471
  234/240 東衛參捌民宿             1554
  235/240 經典公仔主題民宿           no_price
  236/240 好山好水民宿             no_price
  237/240 旭海天空民宿             no_price
  238/240 森活藝術民宿             3129
  239/240 木漏民宿               2162
  240/240 旋轉吧小人國親子民宿         3977

[平台報價] {'price': 147, 'no_match': 48, 'no_price': 45, 'error': 0}
[平台報價] 這輪用掉約 240 次額度
