[官網抽價] 目標 319 家，已處理 12 家，這次跑 307 家
    1/307 台糖花蓮旅館               2730
  134/307 水調歌頭民宿               3000
  135/307 135會館                no_price
  136/307 集璦飯店                 2680
  137/307 福容徠旅 水里              3388
  138/307 山月２２Ｖｉｌｌａ別墅民宿        not_html
  139/307 沐光小院                 no_price
  140/307 挪威森林森森休閒旅館           no_price
  141/307 山嵐商旅民宿               2300
  142/307 有點田民宿                1800
  143/307 鹹菜巷8號                no_price
  144/307 悅來民宿                 not_html
  145/307 雀客藏居花蓮林森             no_price
  146/307 童玩樂親子旅宿              no_price
  147/307 美崙遊記民宿               1200
  148/307 天成逸旅                 no_price
  149/307 春在民宿                 llm_fail
  150/307 波波的家                 empty
  151/307 台中福華大飯店              no_price
  152/307 旅巷自在輕旅               no_price
  153/307 煙波大飯店花蓮太魯閣沁海館        no_price
  154/307 躲貓貓民宿                no_price
  155/307 宜蘭力麗威斯汀度假酒店          16000
  156/307 福容大飯店   桃園           5900
  157/307 紅點文旅                 2280
  158/307 歇會兒民宿典藏館             2000
  159/307 幸福莊園                 2800
  160/307 燦路都飯店                no_price
  161/307 挪威森林文創休閒旅館           no_price
  162/307 泉都溫泉會館               2099
  163/307 同居                   no_price
  164/307 Ｉ　ＤＯ民宿               3000
  165/307 禾森旅店                 2800
  166/307 雀客藏居 台南永康            no_price
  167/307 悅樂旅店                 no_price
  168/307 彎月民宿                 2000
  169/307 漫步山嵐                 2980
  170/307 旅人驛站米豆文旅             no_price
  171/307 立麗大酒店                6800
  172/307 瓏山林台北中和飯店            no_price
  173/307 頭等艙飯店綠園道館            no_price
  174/307 快樂小築                 no_price
  175/307 荷米輕新館                no_price
  176/307 福容徠旅 中壢              8000
  177/307 天安居民宿                no_price
  178/307 鈴之宇民宿                no_price
  179/307 小米那裡民宿               no_price
  180/307 杰克山莊大飯店              no_price
  181/307 晶華酒店                 fetch_error:ConnectTimeout
  182/307 23Here民宿             no_price
  183/307 漢普頓酒店                12000
  184/307 瑞穗天合國際觀光酒店           no_price
  185/307 幸福左右民宿               2800
  186/307 想窩11旅館               no_price
  187/307 凱撒大飯店                no_price
  188/307 荷米輕洋樓                no_price
  189/307 杏葉垣冬山河民宿             1800
  190/307 比歐緻居                 not_html
  191/307 小K咖啡B&B民宿            3600
  192/307 洛津做夢                 no_price
  193/307 雀客童媽吉親子旅館            no_price
  194/307 花蓮S.E.A.民宿           no_price
  195/307 澳玩客民宿                3000
  196/307 路境行旅-台南西門館           no_price
  197/307 煙波大飯店花蓮館             no_price
  198/307 童玩樂親子旅宿2館            no_price
  199/307 我小時候                 1780
  200/307 康橋商旅員林館              not_html
  201/307 單人房 SINGLE INN-站前館   no_price
  202/307 雀客旅館新北蘆洲             no_price
  203/307 煙波大飯店蘇澳館             no_price
  204/307 樂水軒民宿                2380
  205/307 東美佇所民宿               no_price
  206/307 墾丁夏都沙灘酒店             no_price
  207/307 Villa Samaya Awan 紗幔 no_price
  208/307 方舟文旅-山嵐新館            1900
  209/307 七星潭水上明月海景渡假旅店        51888
  210/307 阿里山月灣Villa           1900
  211/307 清境農場國民賓館             3300
  212/307 臺邦商旅                 no_price
  213/307 輕塵別院                 llm_fail
  214/307 隱和旅                  580
  215/307 尊爵大飯店                6800
  216/307 達斯旅店                 no_price
  217/307 由扉寓所                 no_price
  218/307 Inn巷文創旅店             no_price
  219/307 余舍行旅                 not_html
  220/307 長榮桂冠酒店(基隆)           no_price
  221/307 河堤墾丁渡假酒店             no_price
  222/307 中科后豐會館               no_price
  223/307 悅樂旅店                 no_price
  224/307 星光月語民宿               2800
  225/307 香草藝術旅店               2800
  226/307 福容大飯店 高雄             8000
  227/307 語榕花園民宿               2800
  228/307 上禾居                  no_price
  229/307 柯達大飯店台北松江            not_html
  230/307 嘉億時尚大飯店              no_price
  231/307 雀客藏居新北三重水漾           no_price
  232/307 煙波大飯店花蓮太魯閣山闊館        no_price
  233/307 福容大飯店 台北二館           6500
  234/307 蔚藍海岸休閒SPA汽車旅館        no_price
  235/307 T&C 民宿               no_price
  236/307 Villa Samaya Awan 紗幔 no_price
  237/307 山形閣                  no_price
  238/307 墾丁沐林會館               no_price
  239/307 遇見，白居旅宿              empty
  240/307 集光悠宅                 no_price
  241/307 悅豪大飯店                no_price
  242/307 台南老爺行旅               no_price
  243/307 臺中公園智選假日飯店           no_price
  244/307 花蓮統茂渡假莊園             no_price
  245/307 上海時光民宿               1800
  246/307 多羅滿汽車旅館              2580
  247/307 大湖一品苑                no_price
  248/307 98旅店                 fetch_error:ConnectionError
  249/307 風尚會館                 no_price
  250/307 路徒行旅-東大館             no_price
  251/307 魚雅築渡假民宿              no_price
  252/307 裕元花園酒店               8800
  253/307 福容大飯店  花蓮            7800
  254/307 高雄福華大飯店              no_price
  255/307 壹貳貳洋樓                no_price
  256/307 日月光國際大飯店             2080
  257/307 福容徠旅 林口              8000
  258/307 禾家商旅                 no_price
  259/307 二十輪旅店                no_price
  260/307 幸福肥屋民宿               no_price
  261/307 屋裏民宿                 3456
  262/307 夏綠地民宿                no_price
  263/307 煙波大飯店宜蘭館             no_price
  264/307 勝華大飯店                no_price
  265/307 雅薇精品休閒旅館-凱御旅店        no_price
  266/307 馥格堡酒店                no_price
  267/307 禾風新棧度假飯店             3600
  268/307 台東假期商旅               2800
  269/307 一起一起旅店-花蓮中山館         no_price
  270/307 淡水嶘民宿                empty
  271/307 旅人驛站鐵道館              no_price
  272/307 百麗旅店                 no_price
  273/307 米修Ｂ＆Ｂ                2600
  274/307 南方莊園渡假飯店             14800
  275/307 可倫巴                  no_price
  276/307 福容大飯店    淡水漁人碼頭      10800
  277/307 天工享棧SUPER INN主題民宿    no_price
  278/307 花彤林民宿                no_price
  279/307 安蘭居國際青年館             no_price
  280/307 綠夜文旅                 1680
  281/307 華國商務飯店               1850
  282/307 道達旅店                 1800
  283/307 北都大飯店                no_price
  284/307 布查德渡假村民宿             no_price
  285/307 湯野精品旅館（民雄館）          no_price
  286/307 米力行旅台中火車站館           no_price
  287/307 啓瓦居會館                not_html
  288/307 故鄉民宿(特色民宿)           1800
  289/307 和逸 台南西門館             no_price
  290/307 浩斯國際-枋客文旅            3800
  291/307 綠宿行旅                 no_price
  292/307 澄悅商旅                 llm_fail
  293/307 揚昇山莊                 10000
  294/307 逸心園民宿                fetch_error:SSLError
  295/307 向陽田園居民宿              1680
  296/307 卡爾登飯店                no_price
  297/307 挪威森林行旅3號館            no_price
  298/307 安平作夥憩海邊              1900
  299/307 櫻花嶺渡假山莊              no_price
  300/307 幸福綠光                 2500
  301/307 比薩斜塔民宿               llm_fail
  302/307 夢想森林親子民宿             no_price
  303/307 友愛山序漫旅               no_price
  304/307 和逸‧高雄中山館             no_price
  305/307 灣稻旅居民宿               3200
  306/307 挪威森林漫活休閒旅館           no_price
  307/307 日光山林                 empty

[官網抽價] {'price': 110, 'no_price': 165, 'fetch_fail': 25, 'llm_fail': 7}
