序號,hohi_id,旅宿名稱,縣市,鄉鎮市區,業別,地址,電話,官網,Google地圖,Google評分,評論數,合理價格下限,合理價格上限,查詢入住日,查詢退房日,人數,平日雙人房價,房型名稱,來源平台,結果,查核日期
11,22908,璞緻民宿,宜蘭縣,五結鄉,民宿,宜蘭縣五結鄉五結中路二段241巷7弄22號,03-9606198,,https://maps.google.com/?cid=13823983497786439387,4.7,1141,300,6300,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
12,9396,朝日溫泉民宿,新竹縣,尖石鄉,民宿,新竹縣尖石鄉錦屏村4鄰32號,03-5841111,,https://maps.google.com/?cid=10122366827981519081,3.6,1081,300,3420,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
13,7512,馬祖藍灣景觀餐廳民宿,連江縣,莒光鄉,民宿,連江縣莒光鄉福正村58號,0836-22420,,https://maps.google.com/?cid=14597859830396015912,4.9,1032,300,2160,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
14,17481,亞馨文創休閒旅館,花蓮縣,花蓮市,旅館,花蓮縣花蓮市主學里9鄰中正路336巷1弄1號,03-8333815,,https://maps.google.com/?cid=2438528318476978176,4.3,1006,300,7200,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
15,32977,弎弄民宿,苗栗縣,卓蘭鎮,民宿,苗栗縣卓蘭鎮西坪里4鄰西坪43-17號,0935326423,,https://maps.google.com/?cid=6357761995014461030,4.2,978,300,31500,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
16,28263,弌宅民宿,苗栗縣,卓蘭鎮,民宿,苗栗縣卓蘭鎮西坪里4鄰西坪43之19號,0932535492,,https://maps.google.com/?cid=6357761995014461030,4.2,978,300,10800,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
17,32978,肆院民宿,苗栗縣,卓蘭鎮,民宿,苗栗縣卓蘭鎮西坪里4鄰西坪43-16號,0927950880,,https://maps.google.com/?cid=6357761995014461030,4.2,978,300,31500,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
18,28262,弍寓民宿,苗栗縣,卓蘭鎮,民宿,苗栗縣卓蘭鎮西坪里4鄰西坪43之18號,0978213198,,https://maps.google.com/?cid=6357761995014461030,4.2,978,300,10800,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
19,2444,勝華大飯店,南投縣,信義鄉,旅館,南投縣信義鄉東埔村開高巷60號,049-2701511,https://www.sheng-huaw.com.tw,https://maps.google.com/?cid=11611675778391133714,3.6,971,300,7650,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
20,13230,東之港汽車旅館,屏東縣,東港鎮,旅館,屏東縣東港鎮船頭里水源二街139號,08-8352229,,https://maps.google.com/?cid=6898068138561105999,4.3,896,300,1692,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
21,13696,帝王大飯店,宜蘭縣,礁溪鄉,旅館,宜蘭縣礁溪鄉礁溪路五段156號,03-9883769,,https://maps.google.com/?cid=12171053802119707818,3.5,825,300,7020,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
22,8330,蔚藍海岸休閒SPA汽車旅館,基隆市,安樂區,旅館,基隆市安樂區武隆街67號,02-24332366,http://keelung.villa-group.com.tw/,https://maps.google.com/?cid=8219458973566262381,3.7,816,300,18000,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
23,777,墾丁沐林會館,屏東縣,恆春鎮,民宿,屏東縣恆春鎮恆公路230號,0982688049-,https://site.owlting.com/mulininn,https://maps.google.com/?cid=12692512522224083821,4.7,793,300,6300,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
24,18185,春在民宿,宜蘭縣,羅東鎮,民宿,宜蘭縣羅東鎮仁愛里復興路三段496巷13號,0972232163-,http://www.springfourseason.com/,https://maps.google.com/?cid=17928433414790429308,4.9,728,300,6120,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
25,10606,英王旅館,臺南市,中西區,旅館,臺南市中西區忠義路二段233巷26號,06-2263151,,https://maps.google.com/?cid=6161944546490711076,4.0,710,300,4482,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
26,6756,北國之春和風汽車旅館,新北市,鶯歌區,旅館,新北市鶯歌區鶯桃路362之1號,02-26780899,http://yingge.villa-group.com.tw/,https://maps.google.com/?cid=15371148860974714629,3.8,642,300,18000,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
27,13776,布查德渡假村民宿,南投縣,魚池鄉,民宿,南投縣魚池鄉大林村嵩山巷17-18號,049-2896685,http://butchardv.68bnb.com,https://maps.google.com/?cid=16035060745400810456,4.4,637,300,5400,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
28,12569,艾薇卡民宿,宜蘭縣,五結鄉,民宿,宜蘭縣五結鄉大吉村大吉一路15巷6號,03-9502287,,https://maps.google.com/?cid=8746731054868119391,4.7,630,300,2700,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
29,32562,救國團復興青年活動中心,桃園市,復興區,旅館,桃園市復興區中山路1號,03-3822276,http://fuhsing.cyh.org.tw/,https://maps.google.com/?cid=1054720891119869173,4.3,600,300,6210,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
30,7085,寶麗旅宿,臺中市,后里區,民宿,臺中市后里區安眉路116巷103號,0980168517,,https://maps.google.com/?cid=5288090133886174388,4.1,582,300,6300,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
31,16391,路徒行旅-偵探寓所,花蓮縣,花蓮市,旅館,花蓮縣花蓮市國威里20鄰中山路361號,03-8333606,https://www.mazorhotel.com/,https://maps.google.com/?cid=5836669693919424230,4.9,515,300,7992,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
32,8468,千霞園(特色民宿),臺南市,白河區,民宿,臺南市白河區六溪里六重溪123號,098980555806-6842668,,https://maps.google.com/?cid=6450570596768234585,4.3,489,300,5220,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
33,2693,台南南科戴斯精選酒店,臺南市,新市區,旅館,臺南市新市區中正路406號,06-5899111,http://www.sendale.com.tw/tainan/index.php,https://maps.google.com/?cid=11379110560880201121,3.3,484,300,7020,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
34,9504,鈴之宇民宿,花蓮縣,壽豐鄉,民宿,花蓮縣壽豐鄉月眉村月眉六段18號,03-8631292,http://www.revika.com.tw/,https://maps.google.com/?cid=9780368235155341608,4.6,475,300,10800,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
35,29803,閣樂有限公司,宜蘭縣,羅東鎮,旅館,宜蘭縣羅東鎮倉前路83號3樓之1、之2、之3、之5、之6、之7、之8、之9、之10,0900319333,https://twstay.tw/babylove/index.html,https://maps.google.com/?cid=3070332430908451528,4.7,464,300,8100,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
36,22017,森林鹿紅茶民宿,臺南市,中西區,民宿,臺南市中西區金華路四段28號,0909777008,,https://maps.google.com/?cid=8863849522072914556,4.9,464,300,12510,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
37,235,123會館,宜蘭縣,五結鄉,民宿,宜蘭縣五結鄉公園一路18號,0928073502,,https://maps.google.com/?cid=2069835733709071640,4.9,463,300,10800,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
38,4868,花蓮S.E.A.民宿,花蓮縣,花蓮市,民宿,花蓮縣花蓮市民主里5鄰海濱街72號,090539339803-8352523,http://www.seahualien.com/,https://maps.google.com/?cid=11354834343681444640,4.5,462,300,15120,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
39,33787,旅人驛站中正藏書館民宿,臺東縣,臺東市,民宿,臺東縣臺東市中正路392巷15號,089-328988,,https://maps.google.com/?cid=10593872968734169416,4.3,459,300,9000,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
40,29090,水明漾私人VILLA,宜蘭縣,三星鄉,民宿,宜蘭縣三星鄉尚貴路1段89號,0930177777-,,https://maps.google.com/?cid=11583559917576951738,4.7,459,300,12600,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
41,30787,神隱之森民宿,新北市,瑞芳區,民宿,新北市瑞芳區崙頂路48號,0905788650-,,https://maps.google.com/?cid=15291107315821761242,4.9,458,300,12420,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
42,22120,雀客快捷,新北市,淡水區,旅館,新北市淡水區長庚里中山路8號7樓,02-26238111,,https://maps.google.com/?cid=16424708284922303491,4.2,456,300,26532,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
43,8899,萊茵商旅,基隆市,中正區,旅館,基隆市中正區信一路177號17樓,02-24257766,http://www.rhineinn.com.tw,https://maps.google.com/?cid=5626594804056619074,3.5,453,300,7920,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
44,17991,瑞君商務旅館,臺中市,東區,旅館,臺中市東區復興路4段100號11-12樓,04-22235838,,https://maps.google.com/?cid=18192794359198403414,3.7,453,300,5400,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
45,6292,君瑞精品旅店,臺中市,東區,旅館,臺中市東區復興路四段100號9樓之1、10樓之1,04-22268688,,https://maps.google.com/?cid=18192794359198403414,3.7,453,300,8010,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
46,17431,恆春老街文化旅社,屏東縣,恆春鎮,旅館,屏東縣恆春鎮中山路41號,08-8869977,,https://maps.google.com/?cid=6261549186878814357,4.6,451,300,3780,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
47,10943,沫秋立柳川行旅,臺中市,中區,旅館,臺中市中區柳川西路三段22號、22號3~12樓之1,04-22229880,,https://maps.google.com/?cid=3002579481090040996,4.2,451,300,25920,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
48,11900,Ｊａｎｅ．橙堡民宿,宜蘭縣,五結鄉,民宿,宜蘭縣五結鄉協和村傳藝路一段425號,0972505089,,https://maps.google.com/?cid=12227659962402194011,4.7,446,300,5220,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
49,3462,沂宸衿后禾居-民生館,高雄市,新興區,旅館,高雄市新興區民生一路77號1至7樓,07-2229898,,https://maps.google.com/?cid=483472625631785263,4.8,444,300,9720,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
50,34323,愛琴海民宿,金門縣,金城鎮,民宿,金門縣金城鎮西海路三段22巷33弄20號,0933699964082-316058,,https://maps.google.com/?cid=7827708685923170619,5.0,444,300,5220,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
51,36238,暮暮山丘,屏東縣,恆春鎮,民宿,屏東縣恆春鎮恒南路11巷26弄61號,0908872339-,,https://maps.google.com/?cid=13900620772820119819,5.0,432,300,7650,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
52,27183,上禾居,臺南市,安平區,民宿,臺南市安平區世平一街8巷50號,0930803301-,https://ab0930803301.wixsite.com/j666,https://maps.google.com/?cid=15347361228243710283,4.9,431,300,5220,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
53,7275,魚雅築渡假民宿,宜蘭縣,冬山鄉,民宿,宜蘭縣冬山鄉柯林村光華一路407號,0958580996-,https://www.fish-house.com.tw/,https://maps.google.com/?cid=11999210385465706689,4.8,429,300,7020,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
54,10956,茶田關舍民宿,臺東縣,關山鎮,民宿,臺東縣關山鎮豐泉里3鄰平等路99號,0912103373089-815098,,https://maps.google.com/?cid=2091969598469475805,4.9,429,300,6840,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
55,35372,九號光舟民宿,臺南市,安平區,民宿,臺南市安平區州平二街51號,0915495335-,,https://maps.google.com/?cid=13810710094139135171,5.0,425,300,27000,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
56,14644,晴天娃娃民宿,宜蘭縣,五結鄉,民宿,宜蘭縣五結鄉協和村親河路二段103巷1弄1號,03-9504284,,https://maps.google.com/?cid=6926589571486944553,4.6,416,300,2520,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
57,8251,幸福加油站民宿,花蓮縣,花蓮市,民宿,花蓮縣花蓮市信義街93號,0922809899-,,https://maps.google.com/?cid=8885140075177861709,4.7,416,300,4320,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
58,3809,采岩汽車旅館,臺中市,北屯區,旅館,臺中市北屯區崇德路三段111號,04-24228083,,https://maps.google.com/?cid=2966623923050192006,3.7,412,300,5472,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
59,28371,枋山六號店,屏東縣,枋山鄉,民宿,屏東縣枋山鄉枋山村中山路四段6號,0925838485-,,https://maps.google.com/?cid=10962170674961656239,4.3,411,300,2880,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
60,13647,設計師的家休閒民宿,宜蘭縣,五結鄉,民宿,宜蘭縣五結鄉孝威村孝威一路138號,03-9509413,http://www.designerhouse.com.tw,https://maps.google.com/?cid=9029578540011951275,4.8,410,300,5580,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
61,20527,兆泓民宿,南投縣,魚池鄉,民宿,南投縣魚池鄉水社村2鄰中山路455之2號,049-2856608,,https://maps.google.com/?cid=8541129986539308441,4.8,410,300,6120,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
62,269,蘭庭民宿,宜蘭縣,員山鄉,民宿,宜蘭縣員山鄉賢德路一段30號,03-9232699,http://www.sakurailan.com,https://maps.google.com/?cid=13601483672036400360,4.9,408,300,5850,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
63,1554,車站一百米民宿,花蓮縣,花蓮市,民宿,花蓮縣花蓮市國興一街20號,0965312180-,,https://maps.google.com/?cid=592327349476039086,4.7,398,300,3420,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
64,22078,綠堡休閒民宿,南投縣,埔里鎮,民宿,南投縣埔里鎮大城里42鄰水裡巷28號,049-2916656,,https://maps.google.com/?cid=2886773438626250277,4.7,394,300,6750,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
